Address,Balance
kujira19knl5z793dly7zg0l6nmq50qwspdm046u6rle5,3558908
kujira1fzken704a2fjql082e6duwesp2vhy7jceftdlg,101069
kujira1fn0ndc924r8ajhxrgwl267ekj5xl9683a5r6ft,215727
kujira1vx3cwjc2650dygudffc96j3x0w3ct5sxp2rgll,1716597
kujira1w6798hxcwpn2yugkvsgm360tdg4055q4eaem0g,186917
kujira18wcf2lwmd6r855nwyre3l5cfe8xsyrlpswvgf6,711705
kujira153869gc0xawt9ryejj2q9ujrejqwaeeqmuhkl6,484335
kujira1hs6y562j89kz5jgqk8qpu7scd2mawrx74s3yc7,273190
kujira1njlxuydh5rrcdy8ylam6f84s9dueq0n734d0uc,26032207
kujira1dksw2uss87vz52yzxfm2azrqnuk7f6yufgxzug,342217
kujira1rnp5fe4np4tfekmawyxjqruvmzyqas9aap67rt,216697261
kujira1whvltgad9q4yw7cl0vjhhwp8s8sul06kqchjtg,120628466
kujira1325s6uqej9ls80kmr43yzudr5t90lg436972nm,242778
kujira15c7qu2p7hqu9np3dckh54g7hch7vs2racajs7h,1086373
kujira1aq5080c6jwlfmh3mjvvvcv69n7f2my2aqmfcjr,39383
kujira1akpkhph7fxk7l9vhhrw83qjf2qa5vfgtmuj74f,998948
kujira1dqfgv2er7q6ndfvj4k7qhldfy3262herrczjmq,3228268
kujira1uzaaqwrneh6cwzcmurz5qnu0qfm6mevvgtw545,2338358
kujira1etd4l0v7kzznztlfw5ea3gymytx27lkyej68h2,263072
kujira14l637zqvutklcn06fcr82k63jgfk90s3dzkeem,93614
kujira1nszqcl0c59tx8easm77dh90fztkthus6fqkh2c,150850
kujira143d9v48e0ukfae2sv954n0zu2w9t3nq5zr3dl8,113228
kujira1h57kpg7zj4hkd4vdjp9q7ldu2qlexm3335nkg2,2445995
kujira17h43jdhqydvhk0u5tpjyxqwuwtnwsm7kgjjz5l,110223
kujira1qhuudssc7p6lyaeja0npfxuz9m5mfx74kk3xlq,247806
kujira1y76vk2n3g5v8rtq308tyswz6qdsze4gv62xeud,512887
kujira12yck55qkuqk9crevgxj6vc6gn5gn9tdq6dgq8q,4180437
kujira1udha2rhm52j2eceyku6nwz0v645sx5rxej4jw0,533079
kujira1pgddkk3qyftprr39wu29zzm920rkrlrnhwf8u9,251592
kujira1wgsrtk946zwpvjgg0kamfsj3k6mp7hhs4lrp4d,533819
kujira10wfvnzgeqh42farntv2f2l4wg5pun29qcrmt56,185765580
kujira1s7xvulz5zla8u0372987wu7e2q7jqvgnkpckgd,33307
kujira1j0xaeghgpqvczye8aqq64gpsxcly4ma59mqagh,1525376
kujira1hvmrnmtm9srxw6u7p08na5007354mx6s3c3fxq,300221
kujira1ey6rg6w2dytnahua55ctq9ajw9ckjtyj3zk3yc,1363341
